,store,sido,gungu,store_address
0,남양산점,경상남도,양산시,"경상남도 양산시 물금읍 범어로 102, 107호 (라온센트럴상가)"
1,주엽점,경기,고양시,경기 고양시 일산서구 주화로 42
2,운정1호점,경기,파주시,경기 파주시 동패로63번길 48-29 102호
3,신동백점,경기도,용인시,경기도 용인시 기흥구 언동로217번길 8
4,보문5가점,서울특별시,성북구,"서울특별시 성북구 지봉로20길 81, 1층 3호(보문동5가)"
5,용인역삼점,경기도,용인시,경기도 용인시 처인구 지삼로 590번길 10-3
6,반월점,경기도,안산시,경기도 안산시 상록구 건건로 93
7,가능점,경기,의정부시,경기 의정부시 호국로 1135
8,망우점,서울특별시,중랑구,서울특별시 중랑구 용마산로109길 24
9,용강점,경상북도,경주시,경상북도 경주시 승삼3길 18-1
10,인천청천점,인천광역시,부평구,인천광역시 부평구 평천로 115번길 12
11,조암점,경기도,화성시,경기도 화성시 우정읍 조암북로 67번길 6-12
12,구서점,부산광역시,금정구,"부산광역시 금정구 금샘로 262, 216동 104호(구서동, 쌍용예가 2단지)"
13,연산토곡점,부산광역시,연제구,"부산광역시 연제구 과정로 294, 1층(연산동)"
14,야당점,경기,파주시,"경기 파주시 경의로1004번길 37 , 롯데프라자 102호"
15,침산점,대구시,북구,대구시 북구 침산동 456-7
16,각산점,대구시,동구,대구시 동구 과학로2길 14
17,대봉점,대구시,중구,대구시 중구 달구벌대로 446길 28
18,국가산단점,대구시,달성군,대구시 달성군 구지면 국가산단대로 66길 29
19,가음점,경남,창원시,경남 창원시 성산구 대정로40번길 7
20,유니시티점,경남,창원시,경남 창원시 의창구 평산로211번길 18
21,통영1점,경남,통영시,경남 통영시 광도면 죽림2로 76-95
22,동천점,경남,남해군,경남 남해군 삼동면 동부대로 1235
23,대원점,경남,창원시,경남 창원시 성산구 창원대로 548
24,안동삼안점,경상남도,김해시,경상남도 김해시 삼안로 131번길 8-4
25,문산점,경남,진주시,경남 진주시 문산읍 소문길 51
26,용상점,경북,안동시,경북 안동시 전거리7길 83
27,광석동점,경북,안동시,경북 안동시 대석2길 3
28,송도점,경북,포항시,경북 포항시 남구 송림로 16
29,문덕점,경북,포항시,경북 포항시 남구 오천읍 냉천로 302번길 43
30,거문도점,전남,여수시,전남 여수시 삼산면 삼호교길 2
31,오성점,전남,광양시,전남 광양시 광양읍 덕례리 1728-1
32,나주점,전남,나주시,전남 나주시 나주천2길 72
33,구례점,전남,구례군,전남 구례군 구례읍 중앙로 54
34,중화서신점,전북,전주시,전북 전주시 완산구 효자로 329
35,정읍상동점,전북,정읍시,전북 정읍시 상동중앙로 2
36,법동점,대전,대덕구,대전 대덕구 계족로663번길 29-18
37,원내점,대전,유성구,대전 유성구 진잠로66번길 48
38,예천점,충남,서산시,충남 서산시 동서1로 174
39,아산중앙점,충남,아산시,충남 아산시 시민로 258번길 3-3
40,교현신수점,충북,충주시,충북 충주시 연수동산로 5길 27
41,혁신도시점,충북,진천군,충북 진천군 덕산읍 대하로 114
42,영동점,충북,영동군,충북 영동군 영동읍 계산로 18
43,개운점,강원도,원주시,강원도 원주시 개운로 30
44,육사점,서울특별시,노원구,서울특별시 노원구 공릉동 공릉 사서함 77-5
45,청전점,충북,제천시,"충북 제천시 내제로 25길 6-1, 1층(청전동)"
46,사천점,강원도,강릉시,강원도 강릉시 사천면 진리해변길 165
47,주문진점,강원도,강릉시,강원도 강릉시 주문진읍 연주로 321
48,리솜점,충청북도,제천시,충청북도 제천시 백운면 금봉로 214
49,송림재능대점,인천광역시,동구,인천광역시 동구 새천년로 38번길 11
50,불로점,인천광역시,서구,인천광역시 서구 검단로 759
51,공업탑점,울산광역시,남구,"울산광역시 남구 수암로 12, 1층(신정동)"
52,산북점,경기,양주시,경기 양주시 평화로 1267번길 6
53,안양2점,경기도,안양시,경기도 안양시 만안구 박달로 542번길 24
54,고덕국제점,경기도,평택시,경기도 평택시 고덕면 여염리4279-3
55,영통점,경기도,수원시,경기도 수원시 영통구 청명로 69
56,녹양점,경기,의정부시,경기 의정부시 녹양로 79
57,송도센트럴점,인천광역시,연수구,인천광역시 연수구 하모니로 188번길 17
58,은계지구점,경기도,시흥시,경기도 시흥시 은계호수로 49
59,다산진건1호점,경기도,남양주시,"경기도 남양주시 다산순환로  325 , 아이파크상가 108호"
60,당왕동점,경기도,안성시,경기도 안성시 고수2로 70
61,월곡역점,서울특별시,성북구,"서울특별시 성북구 화랑로5길 4, 1층(하월곡동)"
62,금호점,서울특별시,성동구,"서울특별시 성동구 독서당로 276, 1층 102호 (금호동4가)"
63,이태원역점,서울특별시,용산구,서울특별시 용산구 우사단로10길 28. 1층(이태원동)
64,남항점,부산광역시,영도구,"부산광역시 영도구 남항시장길 324, 1층 1호 (영선동2가)"
65,내동점,경상남도,김해시,"경상남도 김해시 금관대로 1365번길 4-21, 1층 (내동)"
66,홍대점,서울특별시,마포구,"서울특별시 마포구 와우산로 23, 지층(상수동, 규민빌딩)"
67,문형점,경기도,광주시,경기도 광주시 오포읍 오포로 447
68,진동점,경상남도,창원시,경상남도 창원시 마산합포구 진동면 삼진의거대로 660
69,화봉점,울산광역시,북구,울산광역시 북구 상방로 78
70,송현점,경상북도,안동시,경상북도 안동시 합전2길 19
71,옥동점,경상북도,안동시,경상북도 안동시 복주1길 5
72,대도점,경상북도,포항시,경상북도 포항시 남구 상대로 142
73,목천점,충청남도,천안시,충청남도 천안시 동남구 목천읍 목천안터2길 10
74,송정점,경기도,이천시,경기도 이천시 증신로 273
75,유구점,충청남도,공주시,충청남도 공주시 유구읍 석남리 269 -3
76,신기점,전남,여수시,전남 여수시 신기남4길 14
77,케이준 덕풍점,경기도,하남시,경기도 하남시 하남대로861번길 5
78,화명신도시점,부산광역시,북구,부산광역시 북구 금곡대로303번길 69
79,해운대점,부산광역시,해운대구,부산광역시 해운대구 해운대해변로209번길26
80,시청점,부산,연제구,부산 연제구 연제로 3
81,압량점,경상북도,경산시,경상북도 경산시 청운2로 74
82,축산점,경상북도,영덕군,경상북도 영덕군 축산면 축산항길 15
83,도청점,경상북도,예천군,경상북도 예천군 호명면 양지5길 4
84,다산점,경상북도,고령군,경상북도 고령군 다산면 상곡1길 16
85,외동점,경북,경주시,경북 경주시 외동읍 내외로 229-5
86,평리점,대구광역시,서구,대구광역시 서구 통학로 85-2
87,임당점,경상북도,경산시,경상북도 경산시 남매공원로2길 35
88,장기점,대구시,달서구,대구시 달서구 장기동 824-3
89,범물1점,대구시,수성구,대구시 수성구 범물동 1369-11
90,가산점,경북,칠곡군,경북 칠곡군 가산면 경북대로 1588
91,아산원남점,충청남도,아산시,충청남도 아산시 음봉면 음봉면로251번길 48
92,유곡점,충남,당진시,충남 당진시 송산면 서정9길 12
93,합덕점,충남,당진시,충남 당진시 합덕읍 미락1안길 31
94,삽교점,충청남도,예산군,충청남도 예산군 삽교읍 삽교로 167
95,당진CGV점,충남,당진시,충남 당진시 북문로1길 41-12
96,문화점,대전광역시,중구,대전광역시 중구 송리로 42
97,탕정점,충남,아산시,충남 아산시 탕정면 탕정면로8번길 93-3
98,죽정점,충남,보령시,충남 보령시 봉황로 72-11
99,사창점,충북,청주시,충북 청주시 서원구 창직로 17-1
100,성화점,충북,청주시,충북 청주시 서원구 신화로 39
101,한밭대점,대전,유성구,대전 유성구 학하서로121번길 39-11
102,태안점,충남,태안군,충남 태안군 태안읍 군청7길 31
103,청양점,충청남도,청양군,충청남도 청양군 청양읍 칠갑산로 2길 13
104,지웰점,충청북도,청주시,충청북도 청주시 흥덕구 대신로73번길 86-1
105,지웰복대점,충북,청주시,충북 청주시 흥덕구 증안로22번길 13-12
106,종촌점,세종시,도움1로,세종시 도움1로 106
107,조치원점,세종시,조치원읍,세종시 조치원읍 행복길20
108,정림점,대전,서구,대전 서구 정림동 533
