,store,sido,gungo,store_address
0,흥덕지구점,경기도,용인시,"경기도 용인시 기흥구  흥덕1로 79번길 9, 105호"
1,후곡점,경기도,고양시,경기도 고양시 일산서구  일산로 576
2,효자중화산2호점,전라북도,전주시,"전라북도 전주시 완산구  용머리로 101 상가2동 지1층 201호, 202호"
3,효자중화산1호점,전라북도,전주시완산구,전라북도 전주시완산구  효동3길 24  1층 (효자동1가)
4,효성2동점,인천광역시,계양구,"인천광역시 계양구  마장로 549, 1층"
5,회덕점,경기도,광주시,경기도 광주시  이배재로 108
6,황상인의점,경상북도,구미시,경상북도 구미시  여현로 80
7,화천점,강원도,화천군,강원도 화천군 화천읍 중앙로 37번지
8,화정1동점,경기도,고양시,경기도 고양시 덕양구  은빛로29번길 15-4
9,화양점,서울특별시,광진구,"서울특별시 광진구   능동로19길 53, 1층"
10,화성마도점,경기도,화성시,경기도 화성시 마도면 두곡서길 35 1층
11,화성남양점,경기도,화성시,"경기도 화성시 남양읍 역골동로 20-10,1층"
12,화서1동점,경기도,수원시,경기도 수원시 팔달구 화서동 219-1번지 101호
13,화북삼양점,제주도,제주시,제주도 제주시  진동로1길 13
14,화곡본동점,서울특별시,강서구,서울특별시 강서구 화곡동 29-27
15,화곡4동점,서울특별시,강서구,서울특별시 강서구 화곡4동 827-8번지
16,화곡1동점,서울특별시,강서구,서울특별시 강서구  곰달래로 19길 46 1층
17,홍천점,강원도,홍천군,강원도 홍천군 홍천읍 연봉리 502-5번지
18,홍제2호점,서울특별시,서대문구,"서울특별시 서대문구  문화촌길 34, 아동 지층 1호"
19,홍제1호점,서울특별시,서대문구,서울특별시 서대문구 홍제동 155-6번지
20,홍은2동점,서울특별시,서대문구,"서울특별시 서대문구  백련사길 6, 1층(홍은동)"
21,홍성읍점,충청남도,홍성군,충청남도 홍성군 홍성읍 문화로 33번길 10
22,홍농읍점,전라남도,영광군,"전라남도 영광군 홍농읍 상하길 33, 102호"
23,호평점,경기도,남양주시,"경기도 남양주시 호평로69번길 3-1,1층 (호평동)"
24,호원1호점,경기도,의정부시,"경기도 의정부시 호원동 419 상가동 1층 104,105호(현대아파트)"
25,호수동점,경기도,안산시,"경기도 안산시 단원구  광덕2로 194-8,108호"
26,호매실점,경기도,수원시,"경기도 수원시 권선구  서수원로523번길 30-35, 101호"
27,호계점,경기도,안양시,"경기도  안양시 동안구  엘에스로 45, 1층 117호(호계동, 대영골든타워)"
28,현풍점,대구광역시,달성군,대구광역시 달성군 현풍면 현풍중앙로14길 85
29,헬리오시티점,서울특별시,송파구,"서울특별시 송파구  송파대로37길 88, 2층(석촌동)"
30,향동점,경기도,고양시,"경기도 고양시 덕양구  꽃내음2길 50-7 , 1층 일부호 (향동동)"
31,향남지구점,경기도,화성시,"경기도 화성시 향남읍 행정서로3길 4-16, 102호"
32,향남2지구점,경기도,화성시,"경기도 화성시 향남읍 상신하길로298번길 7-27, 111호"
33,행신2호점,경기도,고양시,"경기도 고양시 덕양구  중앙로 478, 109호"
34,행당점,서울특별시,성동구,서울특별시 성동구  행당로 79
35,해운대중동점,부산광역시,해운대구,"부산광역시 해운대구  달맞이길65번길 15, 103호"
36,해남점,전라남도,해남군,전라남도 해남군 해남읍 법원길4
37,함열점,전라북도,익산시,전라북도 익산시 함열읍 함열1길 28
38,함안칠원점,경상남도,함안군,경상남도 함안군 칠원읍 구성길 43
39,함안가야점,경상남도,함안군,경상남도 함안군 가야읍 가야로 135
40,함덕점,제주특별자치도,제주시,"제주특별자치도 제주시 조천읍 조함해안로 434, 2층"
41,한성대점,서울특별시,성북구,"서울특별시 성북구  삼선교로2길 3,  1층(삼선동1가)"
42,한라초점,제주특별자치도,제주시,"제주특별자치도 제주시  연화로3길 3-1, 1층(연동)"
43,한남대점,대전광역시,동구,대전광역시 동구 계족로443번길 70 1층 (용전동)
44,학익점,인천광역시,미추홀구,"인천광역시 미추홀구 소성로 168, 1층"
45,학동사거리점,서울특별시,강남구,"서울특별시 강남구  도산대로50길 21,  101호(논현동)"
46,하월곡점,서울특별시,성북구,서울특별시 성북구 오패산로3길 122
47,"하안3,4동점",경기도,광명시,경기도 광명시  하안로 254
48,하복대점,충청북도,청주시,충청북도 청주시 흥덕구  죽천로 120
49,하당지구점,전라남도,목포시,전라남도 목포시  옥암로96번길 14
50,하늘도시1호점,인천광역시,중구,"인천광역시 중구  하늘달빛로 64번길 6-3, 스카이프자라 105호"
51,하남풍산점,경기도,하남시,"경기도 하남시 덕풍동로 111-10 트윈렉스1 113,114호	"
52,하남신장점,경기도,하남시,경기도 하남시  신평로61번길 18
53,풍향산수점,광주광역시,북구,광주광역시 북구 풍향동 579-5번지
54,풍덕천1동점,경기도,용인시,"경기도 용인시 수지구  수지로342번길 42, 1층(풍덕천동)"
55,풍납1호점,서울특별시,송파구,서울특별시 송파구  풍성로24길 40
56,풍기점,경상북도,영주시,경상북도 영주시 풍기읍 기주로 89
57,표선점,제주도,서귀포시,제주도 서귀포시 표선면 표선중앙로 106
58,포항흥해점,경상북도,포항시,경상북도 포항시 북구 흥해읍 한동로 40번길 20
59,포항효곡점,경상북도,포항시,"경상북도 포항시 남구  효자동길 10번길 27, 1층"
60,포항죽도점,경상북도,포항시,"경상북도 포항시 북구  죽파로 24, 1층"
61,포항오천점,경상북도,포항시,경상북도  포항시 남구 오천읍 냉천로340번길 16
62,포항양포점,경상북도,포항시,경상북도 포항시 남구  동해안로3268
63,포항양덕점,경상북도,포항시,경상북도 포항시 북구 천마로 103 1층(양덕동)
64,포항두호우현점,경상북도,포항시,"경상북도 포항시 북구  새천년대로 1020길 12, 213동 106호"
65,포항동해점,경상북도,포항시,"경상북도 포항시 남구 동해면 일월로 100, 1층"
66,포항대이양학점,경상북도,포항시,"경상북도 포항시 북구  이동로 48-1, 205호"
67,포천점,경기도,포천시,경기도 포천시  원앙로 18-2
68,포천일동점,경기도,포천시,경기도 포천시 일동면 기산6리 91-36
69,포천운천점,경기도,포천시,경기도 포천시 영북면 운천로 6-1
70,평택포승점,경기도,평택시,경기도 평택시 포승읍 도곡리 1141-17
71,평택팽성점,경기도,평택시,"경기도 평택시 팽성읍 송화택지로 72, A 1층"
72,평택안중점,경기도,평택시,"경기도 평택시 안중읍 안중로8번길64,1층"
73,평촌스마트점,경기도,안양시,경기도 안양시 동안구  시민대로327번길 7
74,평창장평점,강원도,평창군,"강원도 평창군 용평면 금송1길 49, 1층"
75,평내점,경기도,남양주시,경기도 남양주시  경춘로1286번안길 4-2
76,파주교하점,경기도,파주시,경기도 파주시  책향기로 369
77,파장점,경기도,수원시,"경기도 수원시 장안구  파장로 67, 1층 101호(정자동)"
78,퇴계원점,경기도,남양주시,"경기도 남양주시 퇴계원면 퇴계원로 94, 1층(퇴계원리 95)"
79,통진점,경기도,김포시,경기도 김포시 통진읍 서암리 1113 서암주공아파트 제상가동 101호
80,통영죽림점,경남,통영시,경남 통영시 광도면 죽림3로 43-16
81,통영도남미수점,경상남도,통영시,경상남도 통영시 해평1길 6-4  (봉평동)
82,"태평2,4동점",경기도,성남시,"경기도 성남시 수정구  탄리로 96번길 20, 102호"
83,태장우산점,강원도,원주시,"강원도 원주시 북원로2718번길 2, 1층(태장동)"
84,태백점,강원도,태백시,강원도 태백시  상장남길 67
85,탄현점,경기도,고양시,경기도 고양시 일산구 현중로 26번길 81
86,칠성고성점,대구광역시,북구,대구광역시 북구  호암로 30 1층 102호(칠성동2가)
87,칠금문화점,충청북도,충주시,충청북도 충주시  칠금3길 16-1
88,칠곡왜관점,경상북도,칠곡군,경상북도 칠곡군 왜관읍 2번도로길 71
89,충효탑정점,경상북도,경주시,"경상북도 경주시  충효녹지길 6-17, 1층"
90,충주호암용산점,충청북도,충주시,충청북도 충주시 호암동 133-10번지 102호
91,충장서남점,광주광역시,동구,광주광역시 동구  백서로 125번길 28-1
92,충북증평읍점,충청북도,증평군,충청북도 증평군 증평읍 초중로 45
93,충북제천1호점,충청북도,제천시,충청북도 제천시  의림대로 190
94,충북옥천점,충청북도,옥천군,충청북도 옥천군 옥천읍 양수로 30-2
95,충북옥산점,충청북도,청주시,충청북도 청주시 흥덕구 옥산면 가락길32
96,충북오창점,충청북도,청주시,"충청북도 청주시 청원구 오창읍 구룡4길6,101호"
97,충북괴산점,충청북도,괴산군,충청북도 괴산군 괴산읍 읍내로13길 21
98,충무로점,서울특별시,중구,서울특별시 중구 충무로4가 120-3 진양상가 2층
99,충무공점,경상남도,진주시,"경상남도 진주시  범골로60번길 12, 준스타워 1동 107호"
100,충남합덕점,충청남도,당진시,충청남도 당진시 합덕읍 미락4길 33
101,충남태안점,충청남도,태안군,충청남도 태안군 태안읍 동문리 터널길 25
102,충남당진점,충청남도,당진시,"충청남도 당진시   읍내동 1096, 이안아파트 상가"
103,충남논산점,충청남도,논산시,충청남도 논산시  내동 1169번지 101호
104,춘천후평점,강원도,춘천시,"강원도 춘천시  부평길 8, 1층 우측"
105,춘천효자점,강원도,춘천시,강원도 춘천시 서부대성로 180-1 1층 (효자동)
106,춘천소양점,강원도,춘천시,강원도 춘천시  서부대성로47번길 4 1층 (요선동)
107,춘천석사점,강원도,춘천시,강원도 춘천시 석사동 642번지
108,초월점,경기도,광주시,"경기도 광주시 초월읍 경충대로1127번길 55, E편한세상 B-106호"
109,청파점,서울특별시,용산구,서울특별시 용산구  청파로47길 17 지층 1층
110,청천2동점,인천광역시,부평구,"인천광역시 부평구  평천로 158, 102호(청천동, 럭스96)"
111,청주용암점,충청북도,청주시,충청북도 청주시 상당구 용암동 2183번지
112,청주분평점,충청북도,청주시,"충청북도 청주시 서원구  청남로 1994 , 1층 (분평동)"
113,청주봉명점,충청북도,청주시,"충청북도 청주시 흥덕구  덕암로 108번길 61 , 102호(봉명동)"
114,청주동남지구점,충청북도,청주시,"충청북도 청주시 상당구  중고개로 104,  상가2동 103호(용암동, 칸타빌 더 테라스 2단지)"
115,청주금천점,충청북도,청주시,충청북도 청주시 상당구  중고개로 273번길 64
116,청주강서지구점,충청북도,청주시,충청북도 청주시 흥덕구  서현북로 24
117,청주가경점,충청북도,청주시,"충청북도 청주시 흥덕구  경산로 28, 1층(가경동)"
118,청북점,경기도,평택시,경기도 평택시 청북읍 옥길리 1165-5
119,청룡점,서울특별시,관악구,"서울특별시 관악구  쑥고개로 89, 1층"
120,청라2호점,인천광역시,서구,인천광역시 서구 경서동 981-93 1층 101호
121,청라1호점,인천광역시,서구,"인천광역시 서구 청라라임로100, 104"
122,청담점,서울특별시,강남구,서울특별시 강남구 청담동 35-1 1층
123,첨단2호점,광주광역시,북구,"광주광역시 북구  첨단연신로91번길 44, 대성빌딩 112호"
124,철산1.2동점,경기도,광명시,"경기도 광명시  시청로 33, 101호, 102호(철산동)"
125,천호3동점,서울특별시,강동구,"서울특별시 강동구  구천면로 238, 103호"
126,천호1동점,서울특별시,강동구,서울특별시 강동구 천호1동 224-50번지
127,천안청수점,충청남도,천안시,충청남도 천안시 동남구 청수6로105 (청수동)
128,천안차암점,충청남도,천안시,충청남도 천안시 서북구 차암동 435-1힐링제이타워 1층 115호
129,천안직산점,충청남도,천안시,"충청남도 천안시 서북구 직산읍 삼은3길 38, 102호"
130,천안용곡점,충청남도,천안시,"충청남도 천안시 동남구  새말1길 47, 1층"
131,천안쌍용점,충청남도,천안시,충청남도 천안시 서북구 쌍용13길 13-2 (쌍용동)
132,천안신부점,충청남도,천안시,충청남도 천안시 동남구 신부동 319-37
133,천안성환점,충청남도,천안시,충청남도 천안시 서북구  성환3로 38 1층
134,천안성정점,충청남도,천안시,충청남도  천안시 서북구  서부19길 4 1층 (성정동)
135,천안성성점,충청남도,천안시,충청남도 천안시 서북구  성성2길 54-1
136,천안불당점,충청남도,천안시,"충청남도 천안시 서북구 불당25로142, 골든프라자 102, 103호 (불당동)"
137,천안백석점,충청남도,천안시,"충청남도  천안시 서북구   백석4길 31, 108호"
138,천안두정점,충청남도,천안시,"충청남도 천안시 서북구  두정고3길 8, 1층(두정동)"
139,창현점,경기도,남양주시,경기도 남양주시 화도읍 경춘로창벌1길 19
140,창원팔용점,경상남도,창원시,경상남도 창원시 의창구 팔용동 183-9번지
141,창원중앙점,경상남도,창원시,"경상남도 창원시 성산구  용지로121번길 15, 1층"
142,창원소답점,경상남도,창원시,"경상남도 창원시 의창구  읍성로89번길 2, 1층 101호"
143,창원봉곡사림점,경상남도,창원시,경상남도 창원시 의창구  사림로 53
144,창원반송점,경상남도,창원시,"경상남도 창원시 성산구  원이대로393번길 17 ,  1층 2호(반지동)"
145,창원명서도계점,경상남도,창원시,경상남도 창원시 의창구  도계동396-7 1층
146,창원동읍점,경상남도,창원시,경상남도 창원시 의창구 동읍 용정길32번길 16
147,창원대방점,경상남도,창원시,"경상남도 창원시 성산구  창이대로901번길 30 , 8동 1층 120호(대방동, 대방그린빌아파트)"
148,창원감계점,경상남도,창원시,"경상남도 창원시 의창구 북면 감계로 266, 204호"
149,창녕읍점,경상남도,창녕군,경상남도 창녕군 창녕읍  명덕로 6-1
150,창5동점,서울시,도봉구,"서울시 도봉구  노해로61길 4,  지층 비101호(창동, 리솜하우스)"
151,창4동점,서울특별시,도봉구,"서울특별시 도봉구  노해로70길 46, 125호(창동, 19단지종합상가)"
152,창2동점,서울특별시,도봉구,"서울특별시 도봉구  도봉로 110다길 51,  태영 창동데시앙 아파트상가 109호"
153,진해웅천점,경상남도,진해시,경상남도 진해시 성내동 359-1번지
154,진해용원웅동점,경상남도,진해시,경상남도 진해시 안골동 376-3
155,진해석동풍호점,경상남도,창원시,"경상남도 창원시 진해구  냉천로 88, 103호"
156,진천읍점,충청북도,진천군,충청북도 진천군 진천읍 중앙동로 132
157,진주하대초장점,경상남도,진주시,경상남도 진주시  하대로 116
158,진주칠암망경점,경상남도,진주시,경상남도 진주시  진주대로 849-10
159,진주신안평거점,경상남도,진주시,경상남도 진주시 신평공원길 25번길 12-13
160,진주상봉봉안점,경상남도,진주시,경상남도 진주시  진주성로 103
161,진주상대점,경상남도,진주시,경상남도 진주시 돗골로 126-1 1층 (상대동)
162,진주금산점,경상남도,진주시,경상남도 진주시 금산면 중천로 74
163,진주가호점,경상남도,진주시,경상남도 진주시  진주대로 568번길 8
164,진접지구점,경기도,남양주시,경기도 남양주시 진접읍 해밀예당2로 117
165,진안점,경기도,화성시,"경기도  화성시  병점동로 126, 1층 101,102호"
166,진부점,강원도,평창군,강원도 평창군 진부면 진부중앙로 53
167,진도점,전라남도,진도군,전라남도 진도군 진도읍 쌍정리 257-20
168,지행1호점,경기도,동두천시,경기도 동두천시  생연로9번길 23
